job_title,experience_level,years_of_experience,education_required,annual_salary_usd,country,remote_work,company_size,industry
LLM Engineer,Senior (6-9 yrs),2,Bachelor's,283000.0,Netherlands,On-site,Big Tech (FAANG+),Government
Computer Vision Engineer,Entry (0-2 yrs),5,Bachelor's,145000.0,Singapore,Fully Remote,SME (51-500),Automotive
Robotics Engineer (AI),Mid (3-5 yrs),4,Master's,252000.0,Global,Hybrid,Big Tech (FAANG+),Healthcare
AI Security Engineer,Lead (10+ yrs),10,Master's,233000.0,Switzerland,On-site,Startup (1-50),Research
Senior ML Engineer,Senior (6-9 yrs),7,Bootcamp/Self-taught,214000.0,Global,On-site,Startup (1-50),Finance
AI Compliance Manager,Lead (10+ yrs),9,Associate's,240000.0,USA,Fully Remote,Mid-size (501-5000),Automotive
NLP Engineer,Entry (0-2 yrs),3,Associate's,145000.0,USA,Fully Remote,Startup (1-50),Automotive
AI Business Analyst,Senior (6-9 yrs),3,Master's,177000.0,Canada,Fully Remote,Big Tech (FAANG+),Energy
AI Agent Developer,Senior (6-9 yrs),4,Bootcamp/Self-taught,261000.0,Australia,Hybrid,Big Tech (FAANG+),Media
AI Agent Developer,Senior (6-9 yrs),3,Bachelor's,323000.0,USA,Fully Remote,Enterprise (5000+),Energy
Deep Learning Engineer,Lead (10+ yrs),6,Master's,298000.0,USA,Hybrid,Startup (1-50),Manufacturing
Deep Learning Engineer,Lead (10+ yrs),6,Bachelor's,253000.0,Singapore,On-site,Mid-size (501-5000),Manufacturing
Computer Vision Engineer,Lead (10+ yrs),8,Master's,336000.0,Global,Fully Remote,Enterprise (5000+),Finance
Senior ML Engineer,Mid (3-5 yrs),5,Associate's,180000.0,USA,Hybrid,Startup (1-50),Research
Data Scientist,Mid (3-5 yrs),6,Master's,217000.0,USA,On-site,Big Tech (FAANG+),Research
Senior ML Engineer,Lead (10+ yrs),5,Associate's,281000.0,Australia,Fully Remote,Enterprise (5000+),Media
ML Engineer,Entry (0-2 yrs),8,Master's,187000.0,USA,Hybrid,Mid-size (501-5000),Healthcare
AI Compliance Manager,Senior (6-9 yrs),6,Bachelor's,137000.0,USA,Hybrid,Startup (1-50),Education
LLM Engineer,Senior (6-9 yrs),2,Master's,360000.0,USA,On-site,Big Tech (FAANG+),Finance
Prompt Engineer,Lead (10+ yrs),3,Bachelor's,231000.0,Switzerland,Hybrid,Big Tech (FAANG+),Government
AI Security Engineer,Mid (3-5 yrs),7,Master's,192000.0,USA,Fully Remote,Enterprise (5000+),Education
Deep Learning Engineer,Mid (3-5 yrs),9,PhD,150000.0,Switzerland,Hybrid,Startup (1-50),Retail
MLOps Engineer,Mid (3-5 yrs),9,PhD,270000.0,Global,On-site,Big Tech (FAANG+),Research
Multimodal AI Engineer,Senior (6-9 yrs),4,Master's,257000.0,Global,On-site,SME (51-500),Media
Data Scientist,Mid (3-5 yrs),7,Associate's,138000.0,UK,Hybrid,Mid-size (501-5000),Research
AI Business Analyst,Senior (6-9 yrs),4,Bachelor's,125000.0,UAE,Fully Remote,SME (51-500),Education
AI Product Manager,Entry (0-2 yrs),6,Bachelor's,140000.0,USA,On-site,Mid-size (501-5000),Education
Generative AI Engineer,Lead (10+ yrs),2,Associate's,150000.0,China,Hybrid,SME (51-500),Healthcare
AI Product Manager,Lead (10+ yrs),6,Associate's,140000.0,China,On-site,Enterprise (5000+),Manufacturing
RAG Engineer,Lead (10+ yrs),7,Bootcamp/Self-taught,336000.0,USA,Fully Remote,Big Tech (FAANG+),Manufacturing
LLM Engineer,Lead (10+ yrs),5,Bootcamp/Self-taught,327000.0,Japan,Hybrid,Big Tech (FAANG+),Automotive
AI Security Engineer,Entry (0-2 yrs),8,PhD,248000.0,USA,Fully Remote,Big Tech (FAANG+),Retail
AI Compliance Manager,Senior (6-9 yrs),5,Associate's,121000.0,UK,Fully Remote,SME (51-500),Manufacturing
Data Scientist,Entry (0-2 yrs),3,PhD,168000.0,USA,Hybrid,Enterprise (5000+),Energy
LLM Engineer,Senior (6-9 yrs),4,Bootcamp/Self-taught,232000.0,UAE,Fully Remote,Mid-size (501-5000),Automotive
AI Business Analyst,Lead (10+ yrs),8,PhD,216000.0,USA,Hybrid,Big Tech (FAANG+),Healthcare
AI Agent Developer,Senior (6-9 yrs),4,Bachelor's,193000.0,France,Hybrid,SME (51-500),Government
AI Security Engineer,Entry (0-2 yrs),9,PhD,140000.0,Switzerland,Hybrid,Startup (1-50),Finance
AI Agent Developer,Entry (0-2 yrs),5,Associate's,155000.0,USA,On-site,Startup (1-50),Finance
NLP Engineer,Mid (3-5 yrs),7,Associate's,145000.0,Germany,Hybrid,Startup (1-50),Research
Data Scientist,Entry (0-2 yrs),2,Associate's,138000.0,UK,Fully Remote,Enterprise (5000+),Education
ML Engineer,Senior (6-9 yrs),9,Associate's,241000.0,Australia,Fully Remote,Big Tech (FAANG+),Automotive
Multimodal AI Engineer,Lead (10+ yrs),3,Master's,354000.0,USA,Fully Remote,Mid-size (501-5000),Technology
Computer Vision Engineer,Mid (3-5 yrs),4,PhD,219000.0,USA,Hybrid,Mid-size (501-5000),Education
AI Compliance Manager,Entry (0-2 yrs),3,Master's,176000.0,USA,On-site,Big Tech (FAANG+),Healthcare
Prompt Engineer,Mid (3-5 yrs),3,Bootcamp/Self-taught,112000.0,UK,Fully Remote,Mid-size (501-5000),Media
AI Product Manager,Lead (10+ yrs),6,Bachelor's,312000.0,USA,On-site,Big Tech (FAANG+),Automotive
AI Engineer,Lead (10+ yrs),6,PhD,172000.0,Canada,On-site,Startup (1-50),Finance
Generative AI Engineer,Entry (0-2 yrs),8,Associate's,190000.0,USA,Fully Remote,Big Tech (FAANG+),Government
Senior Data Scientist,Mid (3-5 yrs),12,Bachelor's,157000.0,India,On-site,Startup (1-50),Finance
AI Product Manager,Mid (3-5 yrs),4,PhD,180000.0,USA,On-site,Startup (1-50),Automotive
Senior Data Scientist,Senior (6-9 yrs),9,Bachelor's,261600.0,USA,On-site,Enterprise (5000+),Manufacturing
LLM Engineer,Lead (10+ yrs),3,Bootcamp/Self-taught,238000.0,Global,Hybrid,Startup (1-50),Energy
Computer Vision Engineer,Lead (10+ yrs),6,Master's,238000.0,Australia,Hybrid,SME (51-500),Government
ML Engineer,Senior (6-9 yrs),5,Associate's,313000.0,Global,Fully Remote,Big Tech (FAANG+),Manufacturing
AI Infrastructure Eng,Entry (0-2 yrs),7,PhD,217000.0,Singapore,On-site,Big Tech (FAANG+),Technology
Deep Learning Engineer,Mid (3-5 yrs),5,PhD,197000.0,USA,Hybrid,Mid-size (501-5000),Manufacturing
AI Agent Developer,Senior (6-9 yrs),3,Master's,214000.0,Canada,On-site,SME (51-500),Energy
Data Engineer (AI),Entry (0-2 yrs),4,PhD,130000.0,Canada,Hybrid,SME (51-500),Technology
Data Engineer (AI),Entry (0-2 yrs),6,Bootcamp/Self-taught,130000.0,Japan,Fully Remote,Enterprise (5000+),Retail
Senior ML Engineer,Lead (10+ yrs),7,Bachelor's,373000.0,Canada,Hybrid,Big Tech (FAANG+),Retail
Senior Data Scientist,Entry (0-2 yrs),12,Bootcamp/Self-taught,157000.0,USA,Hybrid,Mid-size (501-5000),Finance
LLM Engineer,Lead (10+ yrs),2,PhD,344000.0,USA,Hybrid,Mid-size (501-5000),Finance
LLM Engineer,Lead (10+ yrs),5,Associate's,293000.0,UAE,Fully Remote,Enterprise (5000+),Healthcare
Multimodal AI Engineer,Mid (3-5 yrs),8,Associate's,160000.0,Netherlands,Hybrid,SME (51-500),Retail
Data Scientist,Mid (3-5 yrs),8,Associate's,138000.0,Netherlands,Hybrid,SME (51-500),Government
Senior Data Scientist,Lead (10+ yrs),10,Bachelor's,157000.0,China,Hybrid,Big Tech (FAANG+),Retail
Senior Data Scientist,Senior (6-9 yrs),6,PhD,229000.0,France,Hybrid,Enterprise (5000+),Technology
AI Business Analyst,Mid (3-5 yrs),3,Master's,176000.0,USA,Hybrid,SME (51-500),Education
AI Solutions Architect,Senior (6-9 yrs),10,PhD,336000.0,USA,Fully Remote,Enterprise (5000+),Energy
Prompt Engineer,Entry (0-2 yrs),2,Bootcamp/Self-taught,90000.0,UAE,Hybrid,Startup (1-50),Manufacturing
Data Scientist,Senior (6-9 yrs),6,Associate's,234000.0,USA,Hybrid,Big Tech (FAANG+),Retail
ML Engineer,Senior (6-9 yrs),10,Master's,120000.0,China,Fully Remote,Enterprise (5000+),Research
AI Security Engineer,Mid (3-5 yrs),5,PhD,140000.0,France,Fully Remote,SME (51-500),Automotive
AI Solutions Architect,Entry (0-2 yrs),15,Associate's,186000.0,USA,On-site,Enterprise (5000+),Government
AI Solutions Architect,Mid (3-5 yrs),8,Bachelor's,231000.0,USA,Fully Remote,Mid-size (501-5000),Energy
Prompt Engineer,Lead (10+ yrs),5,Bootcamp/Self-taught,154000.0,Australia,Fully Remote,Enterprise (5000+),Consulting
AI Business Analyst,Entry (0-2 yrs),4,Bachelor's,95000.0,France,On-site,SME (51-500),Automotive
Deep Learning Engineer,Mid (3-5 yrs),3,Bachelor's,314000.0,USA,Hybrid,Big Tech (FAANG+),Government
AI Agent Developer,Lead (10+ yrs),4,Bachelor's,348000.0,USA,On-site,Mid-size (501-5000),Education
Prompt Engineer,Entry (0-2 yrs),2,Associate's,90000.0,France,On-site,SME (51-500),Media
Computer Vision Engineer,Entry (0-2 yrs),7,Master's,145000.0,Switzerland,Fully Remote,Startup (1-50),Technology
Computer Vision Engineer,Senior (6-9 yrs),9,Master's,253000.0,USA,On-site,Mid-size (501-5000),Healthcare
LLM Engineer,Entry (0-2 yrs),5,Master's,206000.0,Singapore,Hybrid,Big Tech (FAANG+),Consulting
NLP Engineer,Entry (0-2 yrs),6,Bootcamp/Self-taught,156000.0,Canada,Fully Remote,Big Tech (FAANG+),Education
AI Security Engineer,Lead (10+ yrs),4,Bootcamp/Self-taught,302000.0,UK,Fully Remote,Big Tech (FAANG+),Education
RAG Engineer,Mid (3-5 yrs),4,Bootcamp/Self-taught,145000.0,China,Hybrid,Mid-size (501-5000),Research
MLOps Engineer,Senior (6-9 yrs),4,Bachelor's,205000.0,Japan,On-site,Big Tech (FAANG+),Government
AI Agent Developer,Lead (10+ yrs),6,Bootcamp/Self-taught,155000.0,India,Fully Remote,Startup (1-50),Media
LLM Engineer,Senior (6-9 yrs),5,Associate's,160000.0,China,Hybrid,Big Tech (FAANG+),Government
AI Infrastructure Eng,Mid (3-5 yrs),5,Master's,144000.0,Japan,Hybrid,SME (51-500),Energy
Prompt Engineer,Entry (0-2 yrs),1,Bachelor's,180000.0,USA,Hybrid,Big Tech (FAANG+),Technology
RAG Engineer,Lead (10+ yrs),7,Master's,234000.0,Japan,Fully Remote,SME (51-500),Technology
AI Agent Developer,Mid (3-5 yrs),3,Master's,247000.0,Singapore,Hybrid,Big Tech (FAANG+),Retail
Senior Data Scientist,Senior (6-9 yrs),9,Associate's,181000.0,USA,Fully Remote,SME (51-500),Finance
Multimodal AI Engineer,Senior (6-9 yrs),9,PhD,237000.0,Canada,Hybrid,Mid-size (501-5000),Consulting
LLM Engineer,Senior (6-9 yrs),8,Bachelor's,299000.0,Germany,On-site,Big Tech (FAANG+),Media
Senior ML Engineer,Lead (10+ yrs),11,Bachelor's,328000.0,USA,On-site,SME (51-500),Finance
Prompt Engineer,Lead (10+ yrs),4,Bootcamp/Self-taught,167000.0,Australia,Fully Remote,Enterprise (5000+),Manufacturing
LLM Engineer,Lead (10+ yrs),3,Master's,248000.0,Australia,On-site,Startup (1-50),Technology
Generative AI Engineer,Lead (10+ yrs),3,Associate's,203000.0,Singapore,Fully Remote,SME (51-500),Technology
Multimodal AI Engineer,Entry (0-2 yrs),6,Master's,209000.0,USA,On-site,Mid-size (501-5000),Energy
AI Business Analyst,Senior (6-9 yrs),3,PhD,216000.0,USA,Hybrid,Big Tech (FAANG+),Healthcare
Robotics Engineer (AI),Entry (0-2 yrs),5,PhD,159000.0,USA,Hybrid,SME (51-500),Technology
LLM Engineer,Senior (6-9 yrs),6,Master's,318000.0,UK,On-site,Big Tech (FAANG+),Education
AI Ethics Officer,Mid (3-5 yrs),8,Bootcamp/Self-taught,110000.0,Singapore,Fully Remote,Startup (1-50),Education
Computer Vision Engineer,Mid (3-5 yrs),8,Bootcamp/Self-taught,176000.0,Germany,Hybrid,Big Tech (FAANG+),Government
Senior Data Scientist,Mid (3-5 yrs),9,Bachelor's,157000.0,Switzerland,Fully Remote,SME (51-500),Manufacturing
AI Engineer,Mid (3-5 yrs),3,Associate's,100000.0,UK,Hybrid,Startup (1-50),Healthcare
Multimodal AI Engineer,Mid (3-5 yrs),6,Bootcamp/Self-taught,160000.0,France,Fully Remote,Startup (1-50),Healthcare
Senior Data Scientist,Mid (3-5 yrs),11,Associate's,157000.0,USA,Hybrid,Startup (1-50),Finance
AI Agent Developer,Lead (10+ yrs),7,PhD,348000.0,Netherlands,Fully Remote,Big Tech (FAANG+),Education
Deep Learning Engineer,Entry (0-2 yrs),6,Associate's,141000.0,USA,Hybrid,Startup (1-50),Media
Robotics Engineer (AI),Mid (3-5 yrs),10,PhD,166000.0,Japan,Fully Remote,Enterprise (5000+),Education
RAG Engineer,Lead (10+ yrs),3,Bachelor's,336000.0,USA,Hybrid,SME (51-500),Research
ML Engineer,Lead (10+ yrs),7,Bachelor's,279000.0,USA,On-site,Enterprise (5000+),Manufacturing
Multimodal AI Engineer,Mid (3-5 yrs),8,Associate's,160000.0,Australia,On-site,Enterprise (5000+),Retail
Prompt Engineer,Entry (0-2 yrs),1,Associate's,90000.0,UAE,Fully Remote,Startup (1-50),Automotive
AI Ethics Officer,Entry (0-2 yrs),7,Bootcamp/Self-taught,113000.0,USA,Hybrid,Mid-size (501-5000),Finance
Data Engineer (AI),Senior (6-9 yrs),7,Master's,264000.0,USA,On-site,Big Tech (FAANG+),Automotive
Multimodal AI Engineer,Entry (0-2 yrs),9,Associate's,221000.0,Global,Hybrid,Big Tech (FAANG+),Retail
ML Engineer,Lead (10+ yrs),4,Master's,257000.0,UAE,Fully Remote,Mid-size (501-5000),Energy
Data Engineer (AI),Lead (10+ yrs),8,Master's,264000.0,USA,Hybrid,Enterprise (5000+),Research
Senior Data Scientist,Mid (3-5 yrs),10,Bootcamp/Self-taught,157000.0,Global,Hybrid,Startup (1-50),Retail
Robotics Engineer (AI),Entry (0-2 yrs),6,Bootcamp/Self-taught,125000.0,Germany,Hybrid,Mid-size (501-5000),Government
Prompt Engineer,Lead (10+ yrs),3,Bachelor's,90000.0,China,Fully Remote,Big Tech (FAANG+),Retail
Prompt Engineer,Entry (0-2 yrs),3,Master's,106000.0,USA,Fully Remote,SME (51-500),Finance
Data Scientist,Mid (3-5 yrs),5,Bachelor's,159000.0,Germany,On-site,Big Tech (FAANG+),Healthcare
Computer Vision Engineer,Mid (3-5 yrs),10,Associate's,145000.0,Japan,Hybrid,Enterprise (5000+),Retail
Data Engineer (AI),Entry (0-2 yrs),5,Bootcamp/Self-taught,130000.0,France,Hybrid,Enterprise (5000+),Media
Computer Vision Engineer,Mid (3-5 yrs),7,Associate's,208000.0,USA,Hybrid,Enterprise (5000+),Healthcare
AI Product Manager,Entry (0-2 yrs),4,Associate's,140000.0,USA,On-site,SME (51-500),Healthcare
AI Solutions Architect,Entry (0-2 yrs),12,Master's,199000.0,USA,Fully Remote,Mid-size (501-5000),Government
NLP Engineer,Lead (10+ yrs),6,Bachelor's,326000.0,USA,Hybrid,SME (51-500),Automotive
AI Product Manager,Senior (6-9 yrs),10,Associate's,223000.0,USA,On-site,SME (51-500),Finance
ML Engineer,Mid (3-5 yrs),5,Associate's,198000.0,USA,Fully Remote,Mid-size (501-5000),Retail
AI Business Analyst,Senior (6-9 yrs),4,PhD,216000.0,USA,Hybrid,Big Tech (FAANG+),Manufacturing
Data Engineer (AI),Senior (6-9 yrs),6,Bachelor's,130000.0,China,On-site,SME (51-500),Finance
Deep Learning Engineer,Mid (3-5 yrs),9,Bachelor's,191000.0,USA,Hybrid,Enterprise (5000+),Consulting
Generative AI Engineer,Entry (0-2 yrs),2,Associate's,150000.0,Netherlands,Hybrid,Mid-size (501-5000),Media
Generative AI Engineer,Entry (0-2 yrs),5,Associate's,150000.0,Japan,Fully Remote,Enterprise (5000+),Manufacturing
Prompt Engineer,Mid (3-5 yrs),4,Associate's,129000.0,Canada,On-site,Big Tech (FAANG+),Media
AI Engineer,Mid (3-5 yrs),4,Bachelor's,139000.0,Germany,On-site,Big Tech (FAANG+),Retail
